SUB_ID,X,Subject,GENOTYPE_GROUP,SEX_GROUP,AGE_GROUP,AGE_MONTHS,DIET_GROUP,HN_GROUP,Weight,Animal_ID,DWI_ID,Winding_Number,Island_Entry,Distance_Total,Norm_SW_Distance,Winding_Number_Norm,Island_Entry_Norm,Distance_Total_Norm,Norm_SW_Distance_Norm,Weight_Norm
1,1,1,3,1,2,16.2,1,1,30.7,190610_1,N57437,22.7441212671604,1,12.031,0.286676086775829,1.70603779557328,1.34873718763736,1.54420218408993,1.33419664059821,1.35020101804881
2,2,2,3,2,2,16.2,1,1,25.6,190610_6,N57442,25.3376157532807,3,12.384,0.4421834625323,1.84166637996505,1.51272304029218,1.57716665211694,1.51429287764596,1.35020101804881
3,3,3,3,1,2,16.2,1,1,32.1,190610_2,N57446,25.3839379770556,2,9.431,0.660693457745732,1.84408883263271,1.43073011396477,1.30140440258793,1.76735372253404,1.35020101804881
4,4,4,3,2,2,16.2,1,1,28.7,190610_7,N57447,23.8937159801232,4,11.555,0.466118563392471,1.76615664463112,1.5947159666196,1.49975151332264,1.54201260204685,1.35020101804881
5,5,5,3,1,2,16.2,1,1,31.6,190610_3,N57449,20.7907526799812,2,13.065,0.406965174129353,1.60388503693342,1.43073011396477,1.64076099411804,1.47350586554587,1.35020101804881
6,6,6,3,2,2,16.2,1,1,25.7,190610_8,N57451,22.1273374502109,0,12.069,0.327367636092468,1.67378266011172,1.26674426130995,1.54775076705035,1.38132234686083,1.35020101804881
7,7,7,1,2,1,15.57,1,1,27.5,190715_7,N57496,18.4118647081559,6,11.27,0.538775510204082,1.47947944834552,1.75870181927442,1.47313714111954,1.62615808165832,1.35020101804881
8,8,8,1,1,1,15.57,1,1,30.3,190715_6,N57498,17.7521568263383,2,12.93,0.518252126836814,1.44497956928202,1.43073011396477,1.62815418623236,1.60238953628899,1.35020101804881
9,9,9,1,2,1,15.57,1,1,28,190715_8,N57500,16.2178705059118,4,13.016,0.412185003073141,1.36474300706654,1.5947159666196,1.63618518977435,1.4795510550183,1.35020101804881
10,10,10,1,1,1,15.57,1,1,29.3,190715_9,N57502,16.5911596525918,1,12.267,0.333414852857259,1.38426442066659,1.34873718763736,1.56624075194935,1.38832575090294,1.35020101804881
11,11,11,1,1,2,16.57,1,1,32.3,190715_10,N57513,21.3631429191028,0,10.906,0.262882816798093,1.63381857959842,1.26674426130995,1.43914545170926,1.30664117341084,1.35020101804881
12,12,12,3,1,2,16.2,1,1,30.6,190610_4,N57515,21.9415930186848,1,11.124,0.465749730312837,1.6640690268492,1.34873718763736,1.45950311185058,1.54158544899757,1.35020101804881
13,13,13,3,2,2,16.2,1,1,24.6,190610_9,N57518,22.7230002151747,0,12.904,0.363918164910105,1.70493325558023,1.26674426130995,1.62572620841734,1.42365225353014,1.35020101804881
14,14,14,3,1,2,16.2,1,1,32.2,190610_5,N57520,21.7233994150751,5,14.071,0.485964039513894,1.65265844173352,1.67670889294701,1.73470505880689,1.56499604932389,1.35020101804881
15,15,15,3,2,2,16.2,1,1,29.6,190610_10,N57522,25.7850587587695,10,11.949,0.511507239099506,1.86506572079851,2,1.53654471559641,1.594578145383,1.35020101804881
16,16,16,2,1,2,16.57,1,1,32.7,190715_1,N57546,14.9562757843547,2,13.847,0.25225680652849,1.29876704024778,1.43073011396477,1.71378709609287,1.29433497600331,1.35020101804881
17,17,17,2,1,2,16.57,1,1,36.9,190715_2,N57548,16.3133791960505,5,14.01,0.394860813704497,1.36973769994518,1.67670889294701,1.7290086493178,1.45948756092345,1.35020101804881
18,18,18,2,1,2,16.57,1,1,32.4,190715_3,N57550,18.4927111846907,5,11.041,0.555384476043837,1.4837073706427,1.67670889294701,1.45175225959494,1.64539326091875,1.35020101804881
19,19,19,1,1,2,17.73,1,1,32,190715_5,N57552,17.4977014075904,1,12.805,0.425068332682546,1.43167264751284,1.34873718763736,1.61648121596784,1.49447149960823,1.35020101804881
20,20,20,2,1,2,17.53,1,1,36.4,190909_2,N57580,14.4199038929361,3,14.411,0.251890916660884,1.27071710193869,1.51272304029218,1.76645553792638,1.2939112315474,1.35020101804881
21,21,21,2,2,2,17.53,1,1,36.2,190909_3,N57582,18.9808139539573,2,11.095,0.363316809373592,1.50923304188959,1.43073011396477,1.45679498274921,1.42295581152071,1.35020101804881
22,22,22,2,2,2,17.53,1,1,30.4,190909_4,N57584,14.415062470879,3,14.516,0.266533480297603,1.27046391643027,1.51272304029218,1.77626083294858,1.31086908064541,1.35020101804881
23,23,23,2,1,2,17.53,1,1,34,190909_8,N57587,17.7163127454435,1,14.308,0.137405647190383,1.44310507832914,1.34873718763736,1.75683701042842,1.16132352547407,1.35020101804881
24,24,24,2,2,2,17.47,1,1,28.1,190909_9,N57590,20.0624018215783,0,10.756,0.109520267757531,1.56579542602644,1.26674426130995,1.42513788739184,1.12902890356256,1.35020101804881
25,25,25,1,1,1,15.27,1,1,28,191028_7,N57692,18.2932099849044,4,12.319,0.330302784316909,1.47327431768798,1.5947159666196,1.57109670757939,1.38472160138382,1.35020101804881
26,26,26,1,2,1,15.27,1,1,22.3,191028_3,N57694,18.9241006272249,2,12.612,0.365207738661592,1.50626717931998,1.43073011396477,1.59845814987942,1.42514573497376,1.35020101804881
27,27,27,1,1,1,15.27,1,1,30.3,191028_6,N57700,17.7577863685273,2,12.032,0.203873005319149,1.44527397007676,1.43073011396477,1.54429556785205,1.23830071724561,1.35020101804881
28,28,28,1,2,1,15.27,1,1,24,191028_4,N57702,21.9621714505769,2,10.194,0.767412203256818,1.6651451901499,1.43073011396477,1.37265621308256,1.89094686012966,1.35020101804881
29,29,29,1,2,1,15.27,1,1,22.5,191028_5,N57709,21.9497470046705,2,12.848,0.438511830635118,1.66449544517487,1.43073011396477,1.62049671773883,1.51004068648596,1.35020101804881
30,30,30,3,1,2,19.4,1,1,32.2,200331_14,N58302,23.6291359729747,4,9.471,0.426987646499842,1.75232025052272,1.5947159666196,1.30513975307258,1.49669429575875,1.35020101804881
31,31,31,3,1,2,17.6,1,1,33.4,200331_16,N58303,18.2838829411243,1,12.275,0.388920570264766,1.47278655349522,1.34873718763736,1.56698782204628,1.45260804485266,1.35020101804881
32,32,32,3,1,2,19.4,1,1,34.1,200331_15,N58305,19.1006775057578,1,12.945,0.433989957512553,1.51550138907054,1.34873718763736,1.6295549426641,1.50480381376645,1.35020101804881
33,33,33,3,2,2,19.4,1,1,25.7,200331_17,N58309,17.4979663917046,1,12.091,0.458522868249111,1.43168650504001,1.34873718763736,1.5498052098169,1.53321587387607,1.35020101804881
34,34,34,3,1,2,19.4,1,1,32.2,200331_18,N58310,17.2706207830964,1,11.193,0.209416599660502,1.41979730950548,1.34873718763736,1.4659465914366,1.24472086597322,1.35020101804881
35,35,35,1,1,2,18.73,1,1,33.2,200302_10,N58344,15.6881378492555,1,12.906,0.341469084146908,1.33704027212228,1.34873718763736,1.62591297594157,1.39765351905877,1.35020101804881
36,36,36,1,1,2,18.73,1,1,34.8,200302_11,N58346,18.0454659806947,2,10.895,0.439284075263882,1.46031837397484,1.43073011396477,1.43811823032598,1.51093503860941,1.35020101804881
37,37,37,1,1,2,18.73,1,1,36.5,200302_12,N58350,21.9574834699296,1,11.131,0.479920941514689,1.66490002896593,1.34873718763736,1.4601567981854,1.55799741530751,1.35020101804881
38,38,38,3,1,2,19.4,1,1,31.9,200331_20,N58355,19.413256449654,2,12.413,0.398694916619673,1.53184792070891,1.43073011396477,1.57987478121831,1.46392791305542,1.35020101804881
39,39,39,1,2,2,18.5,1,1,27.6,200302_6,N58359,19.8193138236536,6,12.189,0.650094347362376,1.55308297137593,1.75870181927442,1.55895681850429,1.75507867842883,1.35020101804881
40,40,40,1,2,2,18.5,1,1,27.3,200302_7,N58361,22.3121831554684,6,11.387,0.512426451216299,1.68344929386365,1.75870181927442,1.48406304128713,1.5956427035268,1.35020101804881
41,41,41,1,1,2,18.5,1,1,31,200302_3,N58394,18.938062831902,4,11.601,0.415998620808551,1.50699734245142,1.5947159666196,1.50404716637999,1.48396768284926,1.35020101804881
42,42,42,1,1,2,18.5,1,1,30.8,200302_4,N58396,24.3264930042477,6,9.808,0.728690864600326,1.78878901784549,1.75870181927442,1.33661008090572,1.84610289468067,1.35020101804881
43,43,43,1,1,2,18.5,1,1,31.5,200302_5,N58398,16.9765828802637,1,12.319,0.40863706469681,1.40442039440805,1.34873718763736,1.57109670757939,1.47544211582654,1.35020101804881
44,44,44,1,2,2,18.5,1,1,28,200302_9,N58402,23.251030955839,6,10.818,0.765298576446663,1.73254698765288,1.75870181927442,1.43092768064304,1.88849902617207,1.35020101804881
45,45,45,1,2,2,18.5,1,1,27.5,200302_8,N58404,18.2501250896525,10,14.146,0.534426693058108,1.47102116335009,2,1.7417088409656,1.62112162856542,1.35020101804881
46,46,46,1,1,2,18.17,1,1,28.6,200331_11,N58406,16.857122485204,0,13.249,0.293682542078647,1.39817313058715,1.26674426130995,1.65794360634741,1.34231095819211,1.35020101804881
47,47,47,1,1,2,18.17,1,1,30.9,200331_12,N58408,28.8063620533377,0,7.72,0.636139896373057,2,1.26674426130995,1.14162478560719,1.73891774650507,1.35020101804881
48,48,48,1,2,2,18.17,1,1,26.6,200331_8,N58477,21.8889312327428,4,12.191,0.397588384874087,1.66131504240193,1.5947159666196,1.55914358602852,1.46264641626092,1.35020101804881
49,49,49,1,2,2,18.17,1,1,27.9,200331_9,N58500,18.3383500488661,2,11.843,0.469813391877058,1.47563494849219,1.43073011396477,1.5266460368121,1.54629165764389,1.35020101804881
50,50,50,1,2,2,18.17,1,1,29.3,200331_7,N58512,22.6258022733977,0,12.058,0.657571736606402,1.6998502221211,1.26674426130995,1.54672354566707,1.76373839414482,1.35020101804881
51,51,51,1,1,2,18.17,1,1,26.6,200331_13,N58514,20.0836442763689,3,11.957,0.352345906163753,1.56690631486298,1.51272304029218,1.53729178569334,1.41025018662353,1.35020101804881
52,52,52,1,2,2,17.47,1,1,25.8,200331_1,N58516,20.6446772174188,0,11.589,0.41513504185003,1.59624591978559,1.26674426130995,1.50292656123459,1.48296755459125,1.35020101804881
53,53,53,1,2,2,18.17,1,1,25.9,200331_5,N58604,17.8461032462069,6,12.886,0.465932019245693,1.44989256215848,1.75870181927442,1.62404530069925,1.54179656149756,1.35020101804881
54,54,54,1,2,2,18.17,1,1,27,200331_4,N58606,18.1562076016597,2,12.368,0.382357697283312,1.46610968348605,1.43073011396477,1.57567251192308,1.44500744891673,1.35020101804881
55,55,55,1,2,2,18.17,1,1,25.6,200331_2,N58608,19.7993070038659,6,12.42,0.417954911433172,1.5520367009248,1.75870181927442,1.58052846755312,1.48623330258821,1.35020101804881
56,56,56,3,2,2,20.53,1,2,28.4,201026_1,N58706,20.5879692715051,0,11.148,0.343738787226408,1.59328033860962,1.26674426130995,1.46174432214137,1.40028210810058,1.68436797778609
57,57,57,3,2,2,17.1,1,2,31,201026_2,N58708,17.545681700668,1,13.109,0.309100617896102,1.43418181005922,1.34873718763736,1.64486987965115,1.36016694363159,1.68436797778609
58,58,58,3,1,1,13.5,1,2,31.8,201026_3,N58712,19.9403067571357,5,13.295,0.425648740127868,1.55941038035151,1.67670889294701,1.66223925940475,1.49514368120958,1.68436797778609
59,59,59,3,1,2,20.53,1,2,28,201026_4,N58714,21.9330868018999,1,10.666,0.194730920682543,1.66362418837076,1.34873718763736,1.41673334880138,1.22771308412651,1.68436797778609
60,60,60,3,1,1,13.57,2,2,36.4,201012_1,N58732,21.9816098257727,5,7.874,0.585725171450343,1.66616173339871,1.67670889294701,1.15600588497308,1.68053143391886,1.68436797778609
61,61,61,3,1,1,13.57,2,2,35.4,201012_2,N58733,18.5702623018375,4,9.692,0.481427981840693,1.48776295984596,1.5947159666196,1.32577756450025,1.5597427491894,1.68436797778609
62,62,62,3,1,1,13.37,2,2,46.8,201012_3,N58734,21.0974808002573,3,8.304,0.484224470134875,1.61992559571187,1.51272304029218,1.19616090268303,1.56298141884272,1.68436797778609
63,63,63,3,2,1,14.23,2,2,41.2,201012_8,N58735,17.6357220002799,2,10.083,0.459982148170187,1.43889052968054,1.43073011396477,1.36229061548767,1.53490589546705,1.68436797778609
64,64,64,3,2,1,14.23,2,2,34.5,201012_10,N58740,16.9006132378824,1,10.886,0.452967113724049,1.40044750951931,1.34873718763736,1.43727777646694,1.52678164219377,1.68436797778609
65,65,65,2,2,1,15.4,2,2,44.1,201012_11,N58742,23.4672966246796,6,8.744,0.730786825251601,1.74385675008899,1.75870181927442,1.23724975801413,1.84853026910236,1.68436797778609
66,66,66,2,2,1,14.77,2,2,36.6,201012_12,N58745,22.6122215098471,6,8.636,0.738883742473367,1.69914000671668,1.75870181927442,1.22716431170559,1.85790747269951,1.68436797778609
67,67,67,2,1,1,12.4,2,2,31.4,201012_13,N58747,18.1859042510583,8,10.139,0.674228227635862,1.46766269026538,1.92268767192925,1.36752010616617,1.78302861328866,1.68436797778609
68,68,68,2,2,1,14.03,2,1,42.5,201012_15,N58749,22.6580787429152,4,8.475,0.757522123893805,1.70153814237435,1.5947159666196,1.21212952600489,1.87949295918948,1.35020101804881
69,69,69,2,2,1,14.03,2,1,41.2,201012_16,N58751,19.1599139447091,5,10.87,0.647194112235511,1.51859919953529,1.67670889294701,1.43578363627308,1.75171985747027,1.35020101804881
70,70,70,3,2,1,14.67,2,2,38.8,201012_4,N58779,17.2508133977898,3,10.381,0.543396589923899,1.41876146861821,1.51272304029218,1.39011897659828,1.63150984754459,1.68436797778609
71,71,71,3,2,1,14.67,2,2,39.8,201012_5,N58780,18.9612779242472,5,8.792,0.546064604185623,1.50821139173055,1.67670889294701,1.24173217859571,1.6345997288225,1.68436797778609
72,72,72,3,2,1,14.67,2,2,39.7,201012_6,N58784,22.8452082867014,5,9.432,0.629983036471586,1.71132421103863,1.67670889294701,1.30149778635005,1.7317873625288,1.68436797778609
73,73,73,3,2,1,14.67,2,2,32.8,201012_7,N58788,18.6276260994534,5,10.166,0.601711587645091,1.49076283923942,1.67670889294701,1.37004146774331,1.69904562584415,1.68436797778609
74,74,74,3,2,1,14.7,2,2,31.9,201012_9,N58790,19.3443933553021,0,10.299,0.354694630546655,1.52824667765489,1.26674426130995,1.38246150810475,1.41297029183503,1.68436797778609
75,75,75,2,2,1,14.47,2,1,41.3,201012_17,N58792,15.7491186647506,6,12.234,0.64835703776361,1.3402293059625,1.75870181927442,1.56315908779951,1.75306666504488,1.35020101804881
76,76,76,2,2,1,14.47,2,1,44.3,201012_18,N58794,17.5360964501456,1,11.747,0.372009874861667,1.43368054276664,1.34873718763736,1.51768119564895,1.43302342648235,1.35020101804881
77,77,77,2,2,1,14.43,2,1,46.9,201012_20,N58813,14.22169968213,5,11.178,0.417695473251029,1.26035187591797,1.67670889294701,1.46454583500485,1.48593284198226,1.35020101804881
78,78,78,2,2,1,14.47,2,1,33.8,201012_21,N58815,17.9303663320245,6,11.473,0.628867776518783,1.45429915839652,1.75870181927442,1.49209404482912,1.73049575742099,1.35020101804881
79,79,79,2,1,1,14.47,2,1,42,201012_23,N58819,22.1933963769434,2,8.465,0.679267572356763,1.67723725728443,1.43073011396477,1.21119568838373,1.78886478033222,1.35020101804881
80,80,80,2,1,1,14.47,2,1,46,201012_22,N58821,18.1669813250101,5,11.149,0.448919185577182,1.46667310278555,1.67670889294701,1.46183770590349,1.5220936547363,1.35020101804881
81,81,81,2,2,1,14.43,2,1,40.3,201012_19,N58829,17.2707354029571,6,11.756,0.570432119768629,1.41980330363021,1.75870181927442,1.51852164950799,1.66282024145962,1.35020101804881
82,82,82,2,1,1,14.5,2,1,43.8,201012_24,N58831,17.8194941655181,3,9.887,0.549711742692424,1.44850102191612,1.51272304029218,1.3439873981129,1.63882355369172,1.35020101804881
83,83,83,2,1,1,14.5,2,1,43.9,201012_25,N58851,24.0653510355103,4,7.422,0.518997574777688,1.77513241832901,1.5947159666196,1.11379642449658,1.60325285462623,1.35020101804881
84,84,84,2,1,1,14.5,2,1,54,201012_26,N58853,21.5179612328025,5,9.83,0.703255340793489,1.64191491018149,1.67670889294701,1.33866452367228,1.81664550011874,1.35020101804881
85,85,85,2,1,1,14.5,2,1,43.1,201012_27,N58855,18.083541800424,5,10.051,0.374291115311909,1.4623095752506,1.67670889294701,1.35930233509995,1.43566537718656,1.35020101804881
86,86,86,2,2,1,15,1,1,28.9,210222_10,N58857,18.886695858773,4,11.205,0.512360553324409,1.50431107113399,1.5947159666196,1.46706719658199,1.5955663858454,1.35020101804881
